;title;author;pub_house;price;link
304;Туманы и чудовища;Шабнова Екатерина;Манн, Иванов и Фербер;675;/books/937957/
305;Штурм и буря;Бардуго Ли;АСТ;604;/books/645858/
306;Русские народные сказки. Полное издание в одном томе;Афанасьев Александр Николаевич;Альфа-книга;836;/books/169946/
307;Королевство гнева и тумана;Маас Сара Дж.;Азбука;843;/books/914291/
308;Смерть героя;Олдингтон Ричард;Текст;355;/books/816666/
309;Смерть под ее кожей;Спотсвуд Стивен;Inspiria;607;/books/934636/
310;Иствикские ведьмы;Апдайк Джон;Текст;816;/books/872847/
311;Королева Лисьего дома;Фельдман Ирина Игоревна;Альфа-книга;110;/books/825354/
312;Самая страшная книга. Колумбарий;Подольский Александр;АСТ;577;/books/948209/
313;Дом на берегу;Дюморье Дафна;Азбука;641;/books/945133/
314;Претендент. Сила рода;Вяч Павел;Альфа-книга;504;/books/920593/
315;"Скандинавские мифы. От Тора и Локи до Толкина и ""Игры престолов""";Ларрингтон Кэролин;Манн, Иванов и Фербер;1034;/books/715762/
316;Дракула. Самая полная версия;Стокер Брэм;Алгоритм;1953;/books/940654/
317;Грешник;Скотт Эмма;Freedom;690;/books/920552/
318;Я исповедуюсь;Кабре Жауме;Иностранка;918;/books/489760/
319;Азазель;Акунин Борис;Захаров;515;/books/94329/
320;Хранительница историй;Пейдж Салли;Иностранка;575;/books/936675/
321;Полное собрание стихотворений и поэм в одном томе;Вознесенский Андрей Андреевич;Альфа-книга;494;/books/340598/
322;Смерть Артура;Мэлори Томас;Октопус;3556;/books/621482/
323;Алмазная колесница. Роман в 2-х томах;Акунин Борис;Захаров;618;/books/478793/
324;Удержать небо;Лю Цысинь;fanzon;932;/books/936518/
